"""ID"";""CategoryDrivingLicence"";""AgeDrivingLicenseHolder"";""Region"";""Periods"";""PeopleWithADrivingLicence_1"""
"""78"";""A028200"";""10000"";""PV22  "";""2020JJ00"";""  341036"""
"""79"";""A028200"";""10000"";""PV22  "";""2021JJ00"";""  345345"""
"""80"";""A028200"";""10000"";""PV22  "";""2022JJ00"";""  346484"""
"""81"";""A028200"";""10000"";""PV23  "";""2014JJ00"";""  739676"""
"""82"";""A028200"";""10000"";""PV23  "";""2015JJ00"";""  744877"""
"""83"";""A028200"";""10000"";""PV23  "";""2016JJ00"";""  751616"""
"""84"";""A028200"";""10000"";""PV23  "";""2017JJ00"";""  756490"""
"""85"";""A028200"";""10000"";""PV23  "";""2018JJ00"";""  761082"""
"""86"";""A028200"";""10000"";""PV23  "";""2019JJ00"";""  768109"""
"""87"";""A028200"";""10000"";""PV23  "";""2020JJ00"";""  776834"""
"""88"";""A028200"";""10000"";""PV23  "";""2021JJ00"";""  786316"""
"""89"";""A028200"";""10000"";""PV23  "";""2022JJ00"";""  788137"""
"""90"";""A028200"";""10000"";""PV24  "";""2014JJ00"";""  237637"""
"""91"";""A028200"";""10000"";""PV24  "";""2015JJ00"";""  240297"""
"""92"";""A028200"";""10000"";""PV24  "";""2016JJ00"";""  244507"""
"""93"";""A028200"";""10000"";""PV24  "";""2017JJ00"";""  246928"""
"""94"";""A028200"";""10000"";""PV24  "";""2018JJ00"";""  250172"""
"""95"";""A028200"";""10000"";""PV24  "";""2019JJ00"";""  254298"""
"""96"";""A028200"";""10000"";""PV24  "";""2020JJ00"";""  258549"""
"""97"";""A028200"";""10000"";""PV24  "";""2021JJ00"";""  263373"""
"""98"";""A028200"";""10000"";""PV24  "";""2022JJ00"";""  266660"""
"""99"";""A028200"";""10000"";""PV25  "";""2014JJ00"";"" 1316315"""
"""100"";""A028200"";""10000"";""PV25  "";""2015JJ00"";"" 1329440"""
"""101"";""A028200"";""10000"";""PV25  "";""2016JJ00"";"" 1344166"""
"""102"";""A028200"";""10000"";""PV25  "";""2017JJ00"";"" 1356242"""
"""103"";""A028200"";""10000"";""PV25  "";""2018JJ00"";"" 1368261"""
"""104"";""A028200"";""10000"";""PV25  "";""2019JJ00"";"" 1383904"""
"""105"";""A028200"";""10000"";""PV25  "";""2020JJ00"";"" 1401103"""
"""106"";""A028200"";""10000"";""PV25  "";""2021JJ00"";"" 1420109"""
"""107"";""A028200"";""10000"";""PV25  "";""2022JJ00"";"" 1424468"""
"""108"";""A028200"";""10000"";""PV26  "";""2014JJ00"";""  789177"""
"""109"";""A028200"";""10000"";""PV26  "";""2015JJ00"";""  797785"""
"""110"";""A028200"";""10000"";""PV26  "";""2016JJ00"";""  812607"""
"""111"";""A028200"";""10000"";""PV26  "";""2017JJ00"";""  821379"""
"""112"";""A028200"";""10000"";""PV26  "";""2018JJ00"";""  830282"""
"""113"";""A028200"";""10000"";""PV26  "";""2019JJ00"";""  840851"""
"""114"";""A028200"";""10000"";""PV26  "";""2020JJ00"";""  876463"""
"""115"";""A028200"";""10000"";""PV26  "";""2021JJ00"";""  887385"""
"""116"";""A028200"";""10000"";""PV26  "";""2022JJ00"";""  888063"""
"""117"";""A028200"";""10000"";""PV27  "";""2014JJ00"";"" 1667459"""
"""118"";""A028200"";""10000"";""PV27  "";""2015JJ00"";"" 1685596"""
