"""ID"";""Population"";""Sex"";""PersonalCharacteristics"";""Margins"";""Periods"";""TrafficParticipation_1"";""UseOfPublicTransport_2"""
"""57"";""A048710"";""T001038"";""53500  "";""MBG0095"";""2019JJ00"";""    87.7"";""    14.3"""
"""58"";""A048710"";""T001038"";""53500  "";""MBG0095"";""2020JJ00"";""    78.2"";""     6.5"""
"""59"";""A048710"";""T001038"";""53500  "";""MBG0095"";""2021JJ00"";""    81.3"";""     7.0"""
"""60"";""A048710"";""T001038"";""53705  "";""MW00000"";""2018JJ00"";""    86.7"";""     7.1"""
"""61"";""A048710"";""T001038"";""53705  "";""MW00000"";""2019JJ00"";""    86.7"";""     7.5"""
"""62"";""A048710"";""T001038"";""53705  "";""MW00000"";""2020JJ00"";""    78.7"";""     3.2"""
"""63"";""A048710"";""T001038"";""53705  "";""MW00000"";""2021JJ00"";""    81.2"";""     3.2"""
"""64"";""A048710"";""T001038"";""53705  "";""MOG0095"";""2018JJ00"";""    85.8"";""     6.6"""
"""65"";""A048710"";""T001038"";""53705  "";""MOG0095"";""2019JJ00"";""    85.8"";""     6.9"""
"""66"";""A048710"";""T001038"";""53705  "";""MOG0095"";""2020JJ00"";""    77.9"";""     2.9"""
"""67"";""A048710"";""T001038"";""53705  "";""MOG0095"";""2021JJ00"";""    80.4"";""     2.9"""
"""68"";""A048710"";""T001038"";""53705  "";""MBG0095"";""2018JJ00"";""    87.5"";""     7.7"""
"""69"";""A048710"";""T001038"";""53705  "";""MBG0095"";""2019JJ00"";""    87.6"";""     8.1"""
"""70"";""A048710"";""T001038"";""53705  "";""MBG0095"";""2020JJ00"";""    79.5"";""     3.6"""
"""71"";""A048710"";""T001038"";""53705  "";""MBG0095"";""2021JJ00"";""    82.0"";""     3.5"""
"""72"";""A048710"";""T001038"";""53850  "";""MW00000"";""2018JJ00"";""    83.5"";""     6.0"""
"""73"";""A048710"";""T001038"";""53850  "";""MW00000"";""2019JJ00"";""    82.9"";""     6.0"""
"""74"";""A048710"";""T001038"";""53850  "";""MW00000"";""2020JJ00"";""    76.8"";""     2.5"""
"""75"";""A048710"";""T001038"";""53850  "";""MW00000"";""2021JJ00"";""    80.7"";""     2.4"""
"""76"";""A048710"";""T001038"";""53850  "";""MOG0095"";""2018JJ00"";""    82.6"";""     5.6"""
"""77"";""A048710"";""T001038"";""53850  "";""MOG0095"";""2019JJ00"";""    81.9"";""     5.6"""
"""78"";""A048710"";""T001038"";""53850  "";""MOG0095"";""2020JJ00"";""    76.0"";""     2.2"""
"""79"";""A048710"";""T001038"";""53850  "";""MOG0095"";""2021JJ00"";""    79.9"";""     2.2"""
"""80"";""A048710"";""T001038"";""53850  "";""MBG0095"";""2018JJ00"";""    84.3"";""     6.5"""
"""81"";""A048710"";""T001038"";""53850  "";""MBG0095"";""2019JJ00"";""    83.8"";""     6.5"""
"""82"";""A048710"";""T001038"";""53850  "";""MBG0095"";""2020JJ00"";""    77.6"";""     2.8"""
"""83"";""A048710"";""T001038"";""53850  "";""MBG0095"";""2021JJ00"";""    81.5"";""     2.7"""
"""84"";""A048710"";""T001038"";""53925  "";""MW00000"";""2018JJ00"";""    74.9"";""     4.2"""
"""85"";""A048710"";""T001038"";""53925  "";""MW00000"";""2019JJ00"";""    73.5"";""     4.2"""
"""86"";""A048710"";""T001038"";""53925  "";""MW00000"";""2020JJ00"";""    67.8"";""     1.6"""
"""87"";""A048710"";""T001038"";""53925  "";""MW00000"";""2021JJ00"";""    74.3"";""     1.8"""
"""88"";""A048710"";""T001038"";""53925  "";""MOG0095"";""2018JJ00"";""    73.5"";""     3.6"""
"""89"";""A048710"";""T001038"";""53925  "";""MOG0095"";""2019JJ00"";""    72.1"";""     3.6"""
"""90"";""A048710"";""T001038"";""53925  "";""MOG0095"";""2020JJ00"";""    66.6"";""     1.3"""
"""91"";""A048710"";""T001038"";""53925  "";""MOG0095"";""2021JJ00"";""    73.2"";""     1.5"""
"""92"";""A048710"";""T001038"";""53925  "";""MBG0095"";""2018JJ00"";""    76.2"";""     4.9"""
"""93"";""A048710"";""T001038"";""53925  "";""MBG0095"";""2019JJ00"";""    74.8"";""     4.8"""
"""94"";""A048710"";""T001038"";""53925  "";""MBG0095"";""2020JJ00"";""    69.0"";""     1.9"""
"""95"";""A048710"";""T001038"";""53925  "";""MBG0095"";""2021JJ00"";""    75.4"";""     2.1"""
"""96"";""A048710"";""T001038"";""21600  "";""MW00000"";""2018JJ00"";""    59.8"";""     3.2"""
"""97"";""A048710"";""T001038"";""21600  "";""MW00000"";""2019JJ00"";""    59.4"";""     2.9"""
"""98"";""A048710"";""T001038"";""21600  "";""MW00000"";""2020JJ00"";""    51.6"";""     1.1"""
"""99"";""A048710"";""T001038"";""21600  "";""MW00000"";""2021JJ00"";""    59.7"";""     1.2"""
"""100"";""A048710"";""T001038"";""21600  "";""MOG0095"";""2018JJ00"";""    58.1"";""     2.6"""
"""101"";""A048710"";""T001038"";""21600  "";""MOG0095"";""2019JJ00"";""    57.8"";""     2.4"""
"""102"";""A048710"";""T001038"";""21600  "";""MOG0095"";""2020JJ00"";""    50.2"";""     0.8"""
"""103"";""A048710"";""T001038"";""21600  "";""MOG0095"";""2021JJ00"";""    58.4"";""     0.9"""
"""104"";""A048710"";""T001038"";""21600  "";""MBG0095"";""2018JJ00"";""    61.5"";""     3.9"""
"""105"";""A048710"";""T001038"";""21600  "";""MBG0095"";""2019JJ00"";""    61.0"";""     3.5"""
"""106"";""A048710"";""T001038"";""21600  "";""MBG0095"";""2020JJ00"";""    52.9"";""     1.4"""
"""107"";""A048710"";""T001038"";""21600  "";""MBG0095"";""2021JJ00"";""    61.0"";""     1.5"""
"""108"";""A048710"";""T001038"";""1012600"";""MW00000"";""2018JJ00"";""    84.5"";""     7.1"""
"""109"";""A048710"";""T001038"";""1012600"";""MW00000"";""2019JJ00"";""    83.7"";""     7.0"""
"""110"";""A048710"";""T001038"";""1012600"";""MW00000"";""2020JJ00"";""    77.0"";""     3.2"""
"""111"";""A048710"";""T001038"";""1012600"";""MW00000"";""2021JJ00"";""    80.5"";""     3.3"""
"""112"";""A048710"";""T001038"";""1012600"";""MOG0095"";""2018JJ00"";""    84.0"";""     6.8"""
"""113"";""A048710"";""T001038"";""1012600"";""MOG0095"";""2019JJ00"";""    83.2"";""     6.8"""
"""114"";""A048710"";""T001038"";""1012600"";""MOG0095"";""2020JJ00"";""    76.6"";""     3.0"""
"""115"";""A048710"";""T001038"";""1012600"";""MOG0095"";""2021JJ00"";""    80.1"";""     3.1"""
"""116"";""A048710"";""T001038"";""1012600"";""MBG0095"";""2018JJ00"";""    84.9"";""     7.3"""
"""117"";""A048710"";""T001038"";""1012600"";""MBG0095"";""2019JJ00"";""    84.2"";""     7.3"""
"""118"";""A048710"";""T001038"";""1012600"";""MBG0095"";""2020JJ00"";""    77.5"";""     3.3"""
"""119"";""A048710"";""T001038"";""1012600"";""MBG0095"";""2021JJ00"";""    80.9"";""     3.4"""
"""120"";""A048710"";""T001038"";""2012655"";""MW00000"";""2018JJ00"";""    80.9"";""    11.0"""
